//List of Character Names

+spronoun
he
she
they

+opronoun
him
her
them

+ppronoun
his
her
their

+charactername
Olivier Goulding
cracked
cut
sliced
destroyed
hacked
slit
tore
axed
shot
punched
struck
kicked
crunched
beat
clubbed
burned
pounded
bashed
masticated
mutilated
bludgeoned
whipped
batted
rammed
thrashed
charged
mauled
buckled


//Now we refer to body parts for the fightverbs to affect

+bodypart 
skull
arm
leg
hip
shin
shoulder
face
ear
chest
pelvis
knee
ankle
elbow
ribcage
sternum
crown
neck
collarbone
eye
calf
jaw
brow
forearm
nose
teeth
chin
cheek
wrist
thumb
tongue
belly
mouth

//list of weapons for some added variety
+wpn
Battle axe
Bec de corbin
Bludgeon
Club
Flail
Flanged mace
Horseman's pick
Mace
Morning star
Quarterstaff
Shestopyor
Warhammer
Arming sword
Dagger
Estoc
Falchion
Katana
Knife
Longsword
Rapier
shortsword
Bill
Glaive
Goedendag
Guisarme
Halberd
Lance
Lochaber axe
Lucerne hammer
Man catcher
Military fork
Partisan
Pike
bat
log
elbow
knee


//Now we build a collection of potential careers for the game to apply to the player pawns to give them a little back story

+jobs
Speech-Language Pathologist
Fitness Trainer
Occupational Therapist
Surveyor
Reporter
Database administrator
Teacher Assistant
Patrol Officer
College Professor
Compliance Officer
Auto Mechanic
Event Planner
Civil Engineer
Childcare worker
Financial Advisor
Public Relations Specialist
Web Developer
Bus Driver
Artist
Art Director
Systems Analyst
Maintenance Worker
Educator
Elementary School Teacher
High School Teacher
Paramedic
Substance Abuse Counselor
Real Estate Agent
Plumber
Radiologic Technologist
Landscape Architect
Computer Systems Administrator
IT Manager
Dentist
School Counselor
Insurance Agent
Painter
Judge
Physical Therapist
Middle School Teacher
Coach
Pharmacist
Drafter
Family Therapist
Writer
Firefighter
Janitor
Computer Systems Analyst
Mechanical Engineer
Epidemiologist
Cost Estimator
Economist
Referee
Computer Support Specialist
Anthropologist
Logistician
Physician
Clinical Laboratory Technician
Preschool Teacher
Lawyer
Carpenter
Psychologist
Receptionist
Medical Secretary
Accountant
Computer Programmer
Market Research Analyst
Recreational Therapist
Librarian
Designer
Historian
Musician
Editor
Desktop publisher
Social Worker
Computer Hardware Engineer
Loan Officer
Chemist
Budget analyst
Electrician
Customer Service Representative
Telemarketer
Actor
Actuary
Veterinarian
Farmer
Bookkeeping clerk
Architect
Massage Therapist
School Psychologist
Personal Care Aide
Electrical Engineer
Court Reporter
Respiratory Therapist
Statistician
Software Developer
Microbiologist
Mathematician
Human Resources Assistant
Physicist
Marketing Manager
Photographer
Mason
Dental Hygienist
Groundskeeper
Sports Coach
Professional athlete
Police Officer
Translator
Construction Manager
Medical Assistant
Zoologist
Housekeeper
Dancer
Fitness Worker
Chef
Diagnostic Medical Sonographer
HR Specialist
Paralegal
Security Guard
Environmental scientist
Executive Assistant
Automotive mechanic
Urban Planner
Registered Nurse
Cashier
Truck Driver
Hairdresser
Secretary
Food Scientist

//Now we have a list of character traits which will always go before the job descriptor

+traits
Gentle
Clever
Intelligent
Orderly
Smart
Relaxed
Energetic
Self-Critical
Compassionate
Playful
Dubious
Disorderly
Slimeball
Spoiled
Meddlesome
Attention Seeker
Conceited
Deranged
Spiteful
Arrogant
Creative
Faithful
Insightful
Decisive
Sensitive
Careful
Athletic
Gracious
Warm
Skinny
Ugly
Lame
Angry
Enraged
Pissy
Punchy
Punch-drunk
Apprentice
Freaky
Kind
Wistful
Passionate
Disorganized
Immature
Fat
Overly Picky
Crude
Stupid
Shortsighted
Moody
Ungrateful
Messy
Control Freak
Orderly
Resourceful
Smart
Reflective
Hardworking
Disciplined
Benevolent
Social
Generous
Gallant
Crude
Immodest
Sore Winner
Weak-Willed
Spiteful
Cheap
Pompous
Messy
Moody
Weak
Misguided
Phobic
Dutiful
Forthright
Generous
Compassionate
Focused
Genuine
Self-Reliant
Independent
Dependable
Gullible
Reclusive
Primadonna
Schemer
beautiful
broken
emotional
parched
tacit
teeny-tiny
sable
smooth
tense
secretive
elfin
alluring
violet
far-flung
wicked
jittery
fuzzy
bearded
modern
greedy
amazing
bawdy
bustling
spooky
elite
loving
spotty
well-groomed
knotty
useless
untidy
noxious
long
icky
succinct
earthy
questionable
hapless
kind
quick
soggy
new
poor
changeable
noisy
cowardly
laughable
disillusioned
green
heavenly
poor
tricky
earthy
agreeable
disagreeable
attractive
boring
spurious
ceaseless
separate
statuesque
cultured
asleep
psychological
cautious
tearful
concerned
material
juvenile
coherent
innate
devilish
wandering
versed
gusty
abashed
unhappy
finicky
parched
watery
consistent
pregnant
defective
accidental
picayune
solid
unused
silly
observant
well-to-do
wide-eyed
venomous
detailed
dashing
odd

//Now on to the potential enemies, these will be broken out into smaller sections, one for each enemy type.

+enemyz
Comet Robed
Incessantly Shrieking
Howling
Rage Fueled
Sniveling
Gorgeous
Preachy
Jar-headed
odd
Pale
Gaunt
incandescent
Sunken-Eyed
Fretful
Simpering
Insane
Vicious
waifish
Hunchbacked
Ceaseless
Statuesque
Ghostly
Young
Pregnant
lightning fast
Crazed
Deranged
robe adorned in meteor


+enemys
Snarling
Angry
Vicious
Lame
Prodigal
Frightful
bearded
Stinky
Tall
Short
Fat
Skinny
Wide
Thin
Hunchbacked
Sexy
Scared
Frightened
Bulky
Shredded
broken
noisy
Broad Shouldered
odd
Pregnant
Tattooed
Deranged
Crazed
Professional
Beautiful
Childlike
Small
Quick


+enemyc
incandescent
growling
snarling
hissing
freaky
black and blue
obsidian skinned
mouldering
wispy
quick footed
vicious
hulking
radiating
yelping
barking
howling
clawed
deformed
gimped
trudging
mindless
taken
boyish
girly
waifish

//This next section will contain a few types of adjectives, with many adjectives in each category.

+eldritchadj
indescribable
tentacled
loathsome
charnel
fetid
dank
unutterable
unnamable
unmentionable
ululating
tenebrous
swarthy
stygian
stench-filled
spectral
hideous
furtive
eldritch
demonic
blasphemous
accursed
terrible
horrible
sinister
dark
broken
miserable
gloomy
lifeless
haunted
hidden
neglected
poisonous
deathly
harrowing
obscene
clotted
macabre
diabolical
lurid
sickening
gross
cold
pitiful
helpless
sordid
abject
irremediable
shadowy
spectral
grotesque
hopeless
existential
devastating
mawkish
dark
black
pitch-black
wormy
infested
tragic
brutal
grimmest
sacrilegious
awful
detestable
miserable
peculiar
intense
haunting
gray
shaggy
pallid
sterile
overwhelming
apocalyptic
atavistic
impotent
languorous
visceral
abominable
revolting
bloodless
dystopic
crimson
enigmatic
violent
morbid
drab
evil
unyielding
mythical
stony
withered
gory
bloody
featureless
sunken
ghastly
heartstopping
grim
insurmountable
strange
cruel
gut-wrenching
vulgar
coarse
gruesome
haggard
wild
dismal
angry
unearthly
weird
uncanny
supernatural
eerie
spooky
bizarre
surreal
baleful
disastrous
evil-boding
forbidding
foreboding
portentous
sinistrous
sullen
spine-chilling
hair-raising
abnormal
dire
bodeful
augural
dreadful
fearful
repugnant
hateful
trepid
repulsive
detestable
nightmarish
savage
perturbed
phobic
odious
odorous
nauseating
atrocious
criminal
hostile
heinous
malicious
coldhearted
acrimonious
antagonistic
monstrous
repellent
unfriendly
feudal
abhorrent
murderous
queasy
spiteful
chilling
baneful
tortuous
contemptuous
cursed
miscreant
nefarious
nasty
vile
wicked
barbarous
bloated
ghoulish
oppressive
hellish
mired
woeful
dejected
despondent
desolated
disgraced
doleful
dismayed
